Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
6C,1708 US THEFT OF MAIL,1409,"Mon 04-20-2020, 08:00:00 AM",LARCENY,2310,0,6,1452679,1,20,2020,08,17
6B,211 PC ROBBERY-SHOPLIFT,1401,"Mon 05-04-2020, 11:32:00 AM",ROBBERY,1203,0,6,1452683,1,04,2020,11,16
2C,484 PC PETTY THEFT,613,"Fri 04-24-2020, 05:45:00 AM",LARCENY,2399,2,2,1452697,5,24,2020,05,5
3B,484 PC PETTY THEFT,728,"Fri 04-24-2020, 09:30:00 PM",LARCENY,2399,2,3,1452698,5,24,2020,21,7
5B,484 PC PETTY THEFT,1633,"Thu 04-30-2020, 04:00:00 AM",LARCENY,2399,2,5,1452699,4,30,2020,04,13
6C,484 PETTY THEFT CLOUT UNLOCKED,1133,"Wed 04-29-2020, 08:00:00 AM",LARCENY,2305,0,6,1452701,3,29,2020,08,17
3A,459 PC BURG VEHICLE,724,"Mon 04-27-2020, 11:55:00 AM",BURGLARY,2299,01,3,1452702,1,27,2020,11,6
4B,487(A) PC GRAND THEFT >$950,1354,"Tue 04-21-2020, 03:35:00 PM",LARCENY,2303,1,4,1452703,2,21,2020,15,10
4C,484 PC PETTY THEFT,1294,"Sun 04-26-2020, 05:55:00 PM",LARCENY,2399,2,4,1452706,7,26,2020,17,11
6B,484 PC PETTY THEFT,1004,"Sun 03-29-2020, 10:00:00 AM",LARCENY,2399,2,6,1452708,7,29,2020,10,16
3A,487(A) PC GRAND THEFT >$950,765,"Wed 04-29-2020, 04:00:00 AM",LARCENY,2303,1,3,1452709,3,29,2020,04,6
3A,487(A) PC GRAND THEFT >$950,784,"Fri 04-24-2020, 02:40:00 PM",LARCENY,2303,1,3,1452711,5,24,2020,14,6
2C,484 PETTY THEFT/LICENSE PLATE,625,"Fri 05-01-2020, 10:00:00 PM",LARCENY,2399,4,2,1452712,5,01,2020,22,5
4C,487(A) PC GRAND THEFT >$950,1283,"Wed 04-15-2020, 06:30:00 PM",LARCENY,2303,1,4,1452713,3,15,2020,18,11
3A,484 PETTY THEFT CLOUT UNLOCKED,725,"Sun 04-12-2020, 11:37:00 PM",LARCENY,2305,0,3,1452714,7,12,2020,23,6
3A,459 PC BURG VEHICLE,702,"Wed 04-08-2020, 11:00:00 PM",BURGLARY,2299,01,3,1452716,3,08,2020,23,6
4C,459 PC BURG VEHICLE,1284,"Wed 04-08-2020, 04:01:00 AM",BURGLARY,2299,01,4,1452718,3,08,2020,04,11
5A,484 PC PETTY THEFT,1364,"Tue 04-14-2020, 08:00:00 AM",LARCENY,2399,2,5,1452719,2,14,2020,08,12
6C,459 PC BURG VEHICLE,1121,"Wed 04-08-2020, 11:55:00 PM",BURGLARY,2299,01,6,1452729,3,08,2020,23,17
