hotness_score,supply_score,demand_score,median_listing_price
77.94,85.71,70.16,495050
74.76,76.58,72.94,638748
73.31,80.75,65.87,239550
70.2,79.53,60.88,400039
68.6,67.53,69.68,320050
68.56,69.2,67.92,674996
67.48,63.17,71.78,269618
95.43,93.65,97.2,665050
94.71,96.3,93.11,337050
94.52,93.31,95.73,467050
93.74,95.64,91.83,627050
92.8,95.4,90.2,277950
91.68,93.31,90.05,322050
91.55,92.77,90.32,408950
91.33,89.96,92.7,719494
89.99,93.65,86.34,385050
89.04,93.31,84.77,375050
89,95.85,82.15,342525
88.78,94.82,82.73,273550
87.19,90.31,84.07,463050
86.01,92.18,79.85,272500
85.08,93.31,76.86,256050
84.63,91.2,78.07,258550
82,91.9,72.09,321950
81.87,85.82,77.92,288450
79.81,90.91,68.71,402000
79.17,81.35,76.98,648984.5
77.67,86.09,69.24,570495
76.61,88.2,65.02,239950
73.79,86.49,61.08,342050
67.64,79.95,55.33,249550
63.78,65.25,62.3,789050
98.2,99.32,97.09,582500
95.36,97.39,93.34,335000
95.14,92.3,97.98,619550
93.69,95.48,91.91,277500
93.58,94.59,92.57,409000
92.85,94.93,90.76,359525
92.79,96.54,89.03,275450
92.36,96.24,88.48,275050
92.28,87.78,96.78,492500
91.79,94.42,89.17,312050
91.39,96.38,86.39,358050
91.13,96.85,85.4,520050
89.97,88.13,91.81,745038
87.94,96.1,79.78,457550
87.25,97.86,76.64,232050
86.1,90.99,81.2,648918.5
85.74,94.2,77.27,310044.5
85.07,92.3,77.84,282000
84.82,96.54,73.1,349050
82.31,93.54,71.07,249500
81.88,80.24,83.51,395000
81.79,92.02,71.57,257450
80.39,95.78,65,395370.5
80.06,92.02,68.1,245050
74.22,92.76,55.67,769050
96.82,95.42,98.22,665050
95.29,97.37,93.22,323850
93.63,94.74,92.52,310550
92.94,91.22,94.66,499050
91.13,98.38,83.87,455004
90.77,94.74,86.81,414950
90.63,96.95,84.31,365050
90.09,94.74,85.45,275050
89.97,87.13,92.8,660050
89.89,95.42,84.36,271850
89.62,91.76,87.49,389950
89.54,91.76,87.32,305050
89.51,83.83,95.2,549050
89.26,99.12,79.4,799050
88.58,90.09,87.07,230050
88.33,96.5,80.16,330050
85.43,94.74,76.13,309050
84.57,96.06,73.08,255050
83.66,96.95,70.37,380040
83.16,74.31,92.01,700050
82.56,90.09,75.03,245050
82.18,83.83,80.53,275050
82.05,85.1,79,379050
79.79,85.78,73.79,265050
74.49,94.74,54.24,238050
59.93,48.11,71.74,530050
95.67,92.83,98.51,667550
95.01,98.3,91.72,329950
94.48,95.61,93.35,492050
93.55,94.6,92.5,579500
91.4,96.35,86.45,359050
90.4,96.35,84.45,424300
90.27,92.45,88.09,315050
88.87,95.01,82.74,362000
88.39,96.91,79.88,277050
88.06,95.61,80.52,419050
86.47,87.06,85.88,674600
84.97,93.57,76.36,300050
84.5,91.59,77.4,236000
84.33,95.61,73.06,268450
83.74,88.44,79.04,247545
83.12,97.07,69.17,391691
82.96,93.14,72.79,305044.5
82.87,82.79,82.95,799050
82.83,93.98,71.69,256050
82.78,88.44,77.11,377500
82.58,89.42,75.75,304300
82.25,93.57,70.93,278550
81.11,74.94,87.29,631567.5
75.63,90.9,60.37,238494
72.24,86.07,58.41,259550
62.08,66.03,58.13,521045
96.52,95.99,97.04,470050
95.59,97.82,93.35,323550
93.92,95.5,92.34,624004.5
91.51,91.27,91.76,573550
90.78,96.56,85,291050
90.54,92.2,88.88,332500
89.24,93.57,84.91,245050
88.29,95.21,81.38,410050
87.21,92.92,81.5,443050
87.03,96.86,77.21,302525
86.74,97.82,75.66,278800
86.23,92.57,79.89,315050
85.42,87.93,82.91,707500
84.57,98.15,70.99,237000
82.91,90.86,74.96,259550
82.26,79.12,85.41,633925
82.14,95.73,68.55,301392.5
81.41,92.57,70.25,372500
81.34,95.73,66.95,395324.5
81.24,87.57,74.9,357450
81.03,96.29,65.76,277050
76.55,91.27,61.83,250050
76.41,89.65,63.17,542049
73.94,79.12,68.76,277050
68.93,83.25,54.61,229050
94.84,96.1,93.58,329050
94.78,94.34,95.21,624938
94.75,91.71,97.79,458050
93.55,95.58,91.52,245050
92.7,95.58,89.82,632959
91.6,96.74,86.46,414950
91.01,96.74,85.28,239050
90.72,95.58,85.87,299050
88.79,98.28,79.31,310050
88.72,89.62,87.83,314950
88.7,96.1,81.3,279050
87.86,87.81,87.9,729938
86.52,88.68,84.37,359050
86.52,91.71,81.34,450050
86.18,93.65,78.71,305938
84.33,94.34,74.31,396691
84.31,92.87,75.75,345050
84.28,93.65,74.91,339950
83.45,94.98,71.92,260040
80.82,90.55,71.08,273050
79.02,91.71,66.33,225050
78.71,76.17,81.25,633925
78.53,90.55,66.52,250049
78.02,86.57,69.48,299050
64.85,71.92,57.77,550050
97.69,98.9,96.47,640050
95.71,94.73,96.68,459300
95.14,97.44,92.85,327950
93.92,92.09,95.75,632050
92.4,94.31,90.5,230000
